Weinberg–Witten theorem,{\displaystyle \lim _{T\rightarrow T_{H}^{-}}Tr[e^{-\beta H}]=\infty },1951-08-26T00:00:00Z,United States
Poisson's equation,{\displaystyle \Delta \phi =f},1781-06-21T00:00:00Z,France
Sturm-Liouville equation,"{\displaystyle -{\frac {1}{w(x)}}\left({\frac {\mathrm {d} }{\mathrm {d} x}}\left(p(x){\frac {\mathrm {d} }{\mathrm {d} x}}\right)+q(x)\right)y(x)=\lambda y(x)\qquad (y\in L^{2}([a,b],w(x)\,\mathrm {d} x)}",1809-03-24T00:00:00Z,France
inverse Legendre transform,{\displaystyle {\mathcal {J}}_{n}^{-1}\{{\tilde {f}}(n)\}=f(x)=\sum _{n=0}^{\infty }{\frac {2n+1}{2}}{\tilde {f}}(n)P_{n}(x)},1752-09-18T00:00:00Z,France
Mixed Poisson Distribution,"{\displaystyle \operatorname {P} (X=k)=\int \limits _{0}^{\infty }{\frac {\lambda ^{k}}{k!}}e^{-\lambda }\,\,\pi (\lambda )\,\mathrm {d} \lambda }",1781-06-21T00:00:00Z,France
Liouville's theorem,"{\displaystyle \forall f\in {\mathcal {C}}^{\omega }(\mathbb {C} ,\mathbb {C} )\colon \left(\sup _{\mathbb {C} }|f|<\infty \implies f'=0\right)}",1809-03-24T00:00:00Z,France
Serre spectral sequence,"{\displaystyle E_{2}^{p,q}=\operatorname {H} ^{p}(B,\operatorname {H} ^{q}(F))\Rightarrow \operatorname {H} ^{p+q}(X)}",1926-09-15T00:00:00Z,France
Bayes' theorem,{\displaystyle P(A\mid B)={\dfrac {P(B\mid A)P(A)}{P(B)}}},1702-01-01T00:00:00Z,United Kingdom
tautological one-form,{\displaystyle \theta =\sum _{i}p_{i}dq^{i}},1809-03-24T00:00:00Z,France
Wheeler–DeWitt equation,{\displaystyle {\hat {H}}(x)|\psi \rangle ={\vec {P}}(x)|\psi \rangle =0},1911-07-09T00:00:00Z,United States
Liouville's constant,{\displaystyle \sum _{n=1}^{\infty }{\frac {1}{10^{n!}}}},1809-03-24T00:00:00Z,France
Fresnel integral S,{\displaystyle \mathrm {S} (z)=\int \limits _{0}^{z}\sin {\left({\frac {\pi }{2}}t^{2}\right)}\mathrm {d} t},1788-05-10T00:00:00Z,France
Lebesgue constant,"{\displaystyle \Lambda _{n}(X)=\|\lambda _{n}(X,x)\|=\max _{-1\leq x\leq 1}\lambda _{n}(X,x)}",1875-06-28T00:00:00Z,France
Gelfand–Naimark theorem,{\displaystyle \pi (x)[\bigoplus _{f}\xi _{f}]=\bigoplus _{f}\pi _{f}(x)\xi _{f}},1909-12-05T00:00:00Z,Ukraine
Weinberg–Witten theorem,{\displaystyle \lim _{T\rightarrow T_{H}^{-}}Tr[e^{-\beta H}]=\infty },1933-05-03T00:00:00Z,United States
Carnot number,{\displaystyle {\mathit {Ca}}={\frac {T_{2}-T_{1}}{T_{2}}}},1796-06-01T00:00:00Z,France
weakly compact cardinal,"{\displaystyle \forall f\in \{0,1\}^{[\kappa ]^{2}}\exists S\subset \kappa \colon |S|=\kappa \land \forall s,t\in S\colon f(s)=f(t)}",1901-01-14T00:00:00Z,Poland
logical NOR,{\displaystyle \neg (P\lor Q)},1839-09-10T00:00:00Z,United States
Rarita-Schwinger equation,{\displaystyle \left(\epsilon ^{\mu \kappa \rho \nu }\gamma _{5}\gamma _{\kappa }\partial _{\rho }-\mathrm {i} m\sigma ^{\mu \nu }\right)\psi _{\nu }=0},1918-02-12T00:00:00Z,United States
work-energy principle,"{\displaystyle {\displaystyle \Delta U=W-\Delta E_{c}\,}}",1792-05-21T00:00:00Z,France
Weinberg angle,{\displaystyle {\begin{pmatrix}\gamma \\Z^{0}\end{pmatrix}}={\begin{pmatrix}\cos \theta _{\text{W}}&\sin \theta _{\text{W}}\\-\sin \theta _{\text{W}}&\cos \theta _{\text{W}}\end{pmatrix}}{\begin{pmatrix}B_{0}\\W^{0}\end{pmatrix}}},1933-05-03T00:00:00Z,United States
Friedmann–Lemaître–Robertson–Walker metric,"{\displaystyle \mathrm {d} s^{2}=\mathrm {d} t^{2}-a^{2}(t)\left(\mathrm {d} x^{2}+k{\frac {(x\,\mathrm {d} x)^{2}}{1-kx^{2}}}\right)}",1888-06-16T00:00:00Z,Russia
Heine–Borel theorem,{\displaystyle C_{T}=C_{K}\cup \{U\}},1875-06-28T00:00:00Z,France
De Morgan's laws,{\displaystyle \neg (P\lor Q)\vdash (\neg P\land \neg Q).},1806-06-27T00:00:00Z,India
De Morgan's laws,{\displaystyle \neg (P\land Q)\vdash (\neg P\lor \neg Q).},1806-06-27T00:00:00Z,India
quadratrix of Hippias,{\displaystyle f(x)=x\cdot \cot \left({\frac {\pi }{2a}}\cdot x\right)},-0442-01-01T00:00:00Z,Greece
standard probability space,"{\displaystyle \displaystyle m{\big (}(A\cap Z)\cup (B\setminus Z){\big )}=p\,\operatorname {mes} (A)+(1-p)\operatorname {mes} (B)}",1875-06-28T00:00:00Z,France
Serre duality,"{\displaystyle \operatorname {H} ^{\bullet }(X,{\mathcal {E}})\times \operatorname {H} ^{n-\bullet }(X,{\mathcal {K}}_{X}\otimes {\mathcal {E}}^{*})\to \operatorname {H} ^{n}(X,{\mathcal {K}}_{X})\to k}",1926-09-15T00:00:00Z,France
Wilson loop,{\displaystyle \operatorname {tr} \left({\mathcal {P}}\exp \mathrm {i} \oint _{\gamma }A_{\mu }\mathrm {d} x^{\mu }\right)},1936-06-08T00:00:00Z,United States
Liouville equation,{\displaystyle {\frac {\mathrm {d} \rho }{\mathrm {d} t}}={\frac {\partial \rho }{\partial t}}+\sum _{i=1}^{n}\left({\frac {\partial \rho }{\partial q_{i}}}{\dot {q}}_{i}+{\frac {\partial \rho }{\partial p_{i}}}{\dot {p}}_{i}\right)=0},1809-03-24T00:00:00Z,France
Galton–Watson process,{\displaystyle X_{n+1}=\sum _{j=1}^{X_{n}}\xi _{j}^{(n)}},1822-02-16T00:00:00Z,United Kingdom
KMS state,{\displaystyle \left\langle \exp(\mathrm {i} tP^{\mu })A\exp(-\mathrm {i} tP^{\mu })B\right\rangle =\left\langle B\exp((\mathrm {i} t-\beta )P^{\mu })A\exp(-(\mathrm {i} t-\beta )P^{\mu })\right\rangle },1918-02-12T00:00:00Z,United States
Josephson constant,{\displaystyle K_{\mathrm {J} }={\frac {1}{\Phi _{0}}}},1940-01-04T00:00:00Z,United Kingdom
Cavalieri's quadrature formula,"{\displaystyle \int _{0}^{a}x^{n}\,dx={\tfrac {1}{n+1}}\,a^{n+1}\qquad n\geq 0}",1598-01-01T00:00:00Z,Italy
Wallis product,{\displaystyle \prod _{n=1}^{\infty }\left({\frac {2n}{2n-1}}\cdot {\frac {2n}{2n+1}}\right)={\frac {\pi }{2}}},1616-12-03T00:00:00Z,United Kingdom
Atiyah algebroid,{\displaystyle \operatorname {\mathfrak {at}} (P)=\mathrm {T} P/G},1929-04-22T00:00:00Z,United Kingdom
Legendre's conjecture,{\displaystyle \nexists n\in \mathbb {Z} ^{+}\colon \pi ((n+1)^{2})=\pi (n^{2})},1752-09-18T00:00:00Z,France
Stirling's approximation,"{\displaystyle n\,!\sim {\sqrt {2\pi n}}\,\left({n \over {\rm {e}}}\right)^{n}}",1667-05-26T00:00:00Z,France
Legendre's constant,{\displaystyle B=\lim _{n\to \infty }\left(\log(n)-{n \over \pi (n)}\right)},1752-09-18T00:00:00Z,France
work-energy principle,"{\displaystyle {\displaystyle W=\Delta E_{c}=E_{c_{2}}-E_{c_{1}}\,}}",1792-05-21T00:00:00Z,France
Brahmagupta–Fibonacci identity,{\displaystyle \left(a^{2}+b^{2}\right)\left(c^{2}+d^{2}\right){}=\left(ac-bd\right)^{2}+\left(ad+bc\right)^{2}=\left(ac+bd\right)^{2}+\left(ad-bc\right)^{2}},0598-01-01T00:00:00Z,India
't Hooft–Polyakov monopole,"{\displaystyle H_{i}\qquad (i=1,2,3)}",1946-07-05T00:00:00Z,Netherlands
Poisson's ratio,{\displaystyle \mu =\Delta b/\Delta l},1781-06-21T00:00:00Z,France
Seiberg–Witten invariant,{\displaystyle D^{A}\phi =0},1951-08-26T00:00:00Z,United States
Pappus' area theorem,{\displaystyle A_{ABDE}+A_{ACFG}=A_{BCLM}},0290-01-01T00:00:00Z,Egypt
Monge–Ampère equation,{\displaystyle {\frac {\partial ^{2}z}{\partial x^{2}}}{\frac {\partial ^{2}z}{\partial y^{2}}}-\left({\frac {\partial ^{2}z}{\partial x\partial y}}\right)^{2}=a{\frac {\partial ^{2}z}{\partial x^{2}}}+2b{\frac {\partial ^{2}z}{\partial x\partial y}}+c{\frac {\partial ^{2}z}{\partial y^{2}}}+\phi },1746-05-09T00:00:00Z,France
witch of Agnesi,{\displaystyle y={\frac {8a^{3}}{x^{2}+4a^{2}}}},1718-05-16T00:00:00Z,Italy
de Moivre's formula,{\displaystyle \cos(n\theta )+\mathrm {i} \sin(n\theta )=(\cos \theta +\mathrm {i} \sin \theta )^{n}},1667-05-26T00:00:00Z,France
regression toward the mean,{\displaystyle \forall c\colon \mathbb {E} [X_{1}|X_{1}<c]<\mathbb {E} [X_{2}|X_{1}<c]\leq \mathbb {E} [X_{1}]=\mathbb {E} [X_{2}]\leq \mathbb {E} [X_{2}|X_{1}>c]<\mathbb {E} [X_{1}|X_{1}>c]},1822-02-16T00:00:00Z,United Kingdom
Mersenne prime,{\displaystyle M_{i}=2^{n}-1:\phi (M_{i})=M_{i}-1},1588-09-08T00:00:00Z,France
Moore–Penrose inverse,{\displaystyle {\begin{aligned}AA^{+}A&=A\\A^{+}AA^{+}&=A^{+}\\(AA^{+})^{*}&=AA^{+}\\(A^{+}A)^{*}&=A^{+}A\end{aligned}}},1931-08-08T00:00:00Z,United Kingdom
Archimedean property,"{\displaystyle nx>y,y>x>0,n\in \mathbb {N} }",-0407-01-01T00:00:00Z,Turkey
Legendre polynomial,"{\displaystyle \mathrm {P} _{n}(z)={\frac {1}{2^{n}n!}}{\frac {\mathrm {d} ^{n}}{\mathrm {d} z^{n}}}(z^{2}-1)^{n},n\in {\boldsymbol {\mathsf {N}}}}",1752-09-18T00:00:00Z,France
Gutenberg–Richter law,{\displaystyle {\log _{10}N}=a-bM},1900-04-26T00:00:00Z,United States
Zolotarev's lemma,{\displaystyle \left({\frac {a}{p}}\right)},1847-04-12T00:00:00Z,Russia
Liouville's equation,"{\displaystyle {\frac {\partial }{\partial z}}{\frac {\partial }{\partial {\bar {z}}}}\ln f(z,{\bar {z}})=-{\frac {1}{4}}Kf(z,{\bar {z}})^{2}}",1809-03-24T00:00:00Z,France
Taylor series,{\displaystyle f(x)=\sum _{n=0}^{\infty }{\frac {f^{(n)}(a)}{n!}}(x-a)^{n}},1685-08-18T00:00:00Z,United Kingdom
't Hooft symbol,"{\displaystyle \eta _{\mu \nu }^{a}={\begin{cases}\epsilon ^{a\mu \nu }&\mu ,\nu =1,2,3\\-\delta ^{a\nu }&\mu =4\\\delta ^{a\mu }&\nu =4\\0&\mu =\nu =4\end{cases}}}",1946-07-05T00:00:00Z,Netherlands
Josephson constant,{\displaystyle K_{\mathrm {J} }={\frac {2e}{h}}},1940-01-04T00:00:00Z,United Kingdom
Carnot's theorem,{\displaystyle \eta _{\text{max}}=\eta _{\text{Carnot}}=1-{\frac {T_{\mathrm {C} }}{T_{\mathrm {H} }}}},1796-06-01T00:00:00Z,France
Chladni's law,{\displaystyle f=C(m+2n)^{p}},1756-11-30T00:00:00Z,Germany
Apollonius' theorem,{\displaystyle AB^{2}+AC^{2}=2(AD^{2}+BD^{2})},-0261-01-01T00:00:00Z,Turkey
first law of thermodynamics,{\displaystyle \Delta U=Q-W},1796-06-01T00:00:00Z,France
Poisson distribution,{\displaystyle P(X=x)={\frac {\lambda ^{x}}{x!}}\mathrm {e} ^{-\lambda }},1781-06-21T00:00:00Z,France
Si yuan shu,{\displaystyle x+2y+3z+u=5},1249-01-01T00:00:00Z,People's Republic of China
Mersenne number,{\displaystyle M_{n}=2^{n}-1},1588-09-08T00:00:00Z,France
Apollonius point,{\displaystyle {\frac {a(b+c)^{2}}{b+c-a}}:{\frac {b(c+a)^{2}}{c+a-b}}:{\frac {c(a+b)^{2}}{a+b-c}}},-0261-01-01T00:00:00Z,Turkey
Simpson's rule,"{\displaystyle \int _{a}^{b}f(x)\,dx\approx {\tfrac {b-a}{6}}\left[f(a)+4f\left({\tfrac {a+b}{2}}\right)+f(b)\right]}",1598-01-01T00:00:00Z,Italy
L'Hôpital's rule,{\displaystyle \lim _{x\to a}{\frac {f(x)}{g(x)}}=\lim _{x\to a}{\frac {f'(x)}{g'(x)}}},1661-01-01T00:00:00Z,France
Legendre symbol,{\displaystyle \left({\frac {a}{p}}\right)\equiv a^{\frac {p-1}{2}}{\pmod {p}}},1752-09-18T00:00:00Z,France
Milü,{\displaystyle {\frac {355}{113}}},0429-01-01T00:00:00Z,Chen dynasty
Delambre analogies,{\displaystyle \sin {\frac {\alpha -\beta }{2}}={\frac {\sin {\frac {a-b}{2}}}{\sin {\frac {c}{2}}}}\cdot \cos {\frac {\gamma }{2}}},1749-09-19T00:00:00Z,France
Picard–Lindelöf theorem,"{\displaystyle y'(t)=f(t,y(t)),\qquad y(t_{0})=y_{0}}",1856-07-24T00:00:00Z,France
Bézout's identity,"{\displaystyle \forall a,b\exists x,y:PGCD(a,b)=x\cdot a+y\cdot b}",1730-03-31T00:00:00Z,France
measurable cardinal,"{\displaystyle \exists \mu \in \{0,1\}^{{\mathcal {P}}(\kappa )}\colon \left(\mu (\kappa )=1\right)\land \left(\forall \lambda \in \kappa \colon \mu (\{\lambda \})=0\right)\land \left(\forall {\mathcal {A}}\subset {\mathcal {P}}(\kappa )\colon |{\mathcal {A}}|<\kappa \land (\forall A,B\in {\mathcal {A}}\colon A\cap B=\varnothing )\implies \sum _{A\in {\mathcal {A}}}\mu (A)=\mu \left(\bigcup {\mathcal {A}}\right)\right)}",1909-04-13T00:00:00Z,Ukraine
Mathieu function,"{\displaystyle {\begin{aligned}{\text{ce}}_{2n}(x,q)&=\sum _{r=0}^{\infty }A_{2r}^{(2n)}(q)\cos(2rx)\\{\text{ce}}_{2n+1}(x,q)&=\sum _{r=0}^{\infty }A_{2r+1}^{(2n+1)}(q)\cos \left[(2r+1)x\right]\\{\text{se}}_{2n+1}(x,q)&=\sum _{r=0}^{\infty }B_{2r+1}^{(2n+1)}(q)\sin \left[(2r+1)x\right]\\{\text{se}}_{2n+2}(x,q)&=\sum _{r=0}^{\infty }B_{2r+2}^{(2n+2)}(q)\sin \left[(2r+2)x\right]\\\end{aligned}}}",1835-05-15T00:00:00Z,France
Kan fibration,"{\displaystyle \forall n\geq 1,\;0\leq k\leq n,\;s\colon \Lambda _{k}^{n}\to X,\;y\colon \Delta ^{n}\to Y\colon \left(f\circ s=y\circ i_{\Lambda _{k}^{n}\hookrightarrow \Delta ^{n}}\implies \exists x\colon \Delta ^{n}\to X\colon s=x\circ i_{\Lambda _{k}^{n}\hookrightarrow \Delta ^{n}}\land y=f\circ x\right)}",1927-08-04T00:00:00Z,Netherlands
Conway's constant,{\displaystyle \lim _{n\to \infty }{\frac {L_{n+1}}{L_{n}}}=\lambda },1937-12-26T00:00:00Z,United Kingdom
pure spinor,{\displaystyle \lambda \gamma ^{\mu }\lambda =0},1869-04-09T00:00:00Z,France
Jordan curve theorem,"{\displaystyle {\tilde {H}}_{q}(Y)={\begin{cases}\mathbb {Z} ,\quad q=n-k\\0,\quad {\text{otherwise}}.\end{cases}}}",1838-01-05T00:00:00Z,France
Doomsday rule,{\displaystyle {\begin{matrix}\left({\left\lfloor {\frac {y}{12}}\right\rfloor +y{\bmod {1}}2+\left\lfloor {\frac {y{\bmod {1}}2}{4}}\right\rfloor }\right){\bmod {7}}+{\rm {{anchor}={\rm {Doomsday}}}}\end{matrix}}},1937-12-26T00:00:00Z,United Kingdom
Borda–Carnot equation,"{\displaystyle \Delta E\,=\,\xi \,{\scriptstyle {\frac {1}{2}}}\,\rho \,\left(v_{1}\,-\,v_{2}\right)^{2}}",1753-05-13T00:00:00Z,France
sequence of Lucas numbers,"{\displaystyle L_{n}=L_{n-1}+L_{n-2},L_{1}=1,L_{0}=2}",1842-04-04T00:00:00Z,France
Fisher's equation,{\displaystyle {\frac {\partial u}{\partial t}}-D{\frac {\partial ^{2}u}{\partial x^{2}}}=ru(1-u)},1890-02-17T00:00:00Z,United Kingdom
Milü,{\displaystyle {\frac {355}{113}}},0429-01-01T00:00:00Z,Jin dynasty
sequence of Lucas numbers,{\displaystyle L_{n}=\left({1+{\sqrt {5}} \over 2}\right)^{n}+\left({1-{\sqrt {5}} \over 2}\right)^{n}},1842-04-04T00:00:00Z,France
Granger causality,{\displaystyle {\frac {r}{m}}-\ln(m)-1.24=0},1934-09-04T00:00:00Z,United Kingdom
Fubini's theorem,"{\displaystyle \int _{X\times Y}f(x,y)\,\mathrm {d} (x,y)=\int _{X}\left(\int _{Y}f(x,y)\,\mathrm {d} y\right)\,\mathrm {d} x=\int _{Y}\left(\int _{X}f(x,y)\,\mathrm {d} x\right)\,\mathrm {d} y}",1879-01-19T00:00:00Z,Italy
Maurer–Cartan form,{\displaystyle \mathrm {d} \omega +{\frac {1}{2}}[\omega \wedge \omega ]=0},1869-04-09T00:00:00Z,France
law of cosines,{\displaystyle c^{2}=a^{2}+b^{2}-2ab\cos C},1753-05-13T00:00:00Z,France
Wolfram's 2-state 3-symbol Turing machine,"{\displaystyle {\begin{matrix}&A&B\\0&{\mathsf {print}}(1),{\mathsf {moveR}},{\mathsf {changeState}}(B)&{\mathsf {print}}(2),{\mathsf {moveL}},{\mathsf {changeState}}(A)\\1&{\mathsf {print}}(2),{\mathsf {moveL}},{\mathsf {changeState}}(A)&{\mathsf {print}}(2),{\mathsf {moveR}},{\mathsf {changeState}}(B)\\2&{\mathsf {print}}(1),{\mathsf {moveL}},{\mathsf {changeState}}(A)&{\mathsf {print}}(0),{\mathsf {moveR}},{\mathsf {changeState}}(A)\end{matrix}}}",1959-08-29T00:00:00Z,United Kingdom
Delambre analogies,{\displaystyle \sin {\frac {\alpha +\beta }{2}}={\frac {\cos {\frac {a-b}{2}}}{\cos {\frac {c}{2}}}}\cdot \cos {\frac {\gamma }{2}}},1749-09-19T00:00:00Z,France
Dulong–Petit law,{\displaystyle cM=K},1785-02-12T00:00:00Z,France
Collatz sequence,{\displaystyle f(n)={\begin{cases}3n+1&2\nmid n\\n/2&2\mid n\end{cases}}},1909-04-13T00:00:00Z,Ukraine
Venn diagram,{\displaystyle y_{i}={\frac {\sin(2^{i}x)}{2i}}{\text{ where }}0\leq i\leq n-2{\text{ and }}i\in \mathbb {N} },1834-08-04T00:00:00Z,Kingdom of England
de Sitter space,"{\displaystyle \operatorname {dS} _{n}={\frac {\operatorname {O} (1,n)}{\operatorname {O} (1,n-1)}}}",1872-05-06T00:00:00Z,Netherlands
Fubini–Study metric,"{\displaystyle \mathrm {d} s^{2}={\frac {(1+z_{i}{\bar {z}}^{i})\,\mathrm {d} z_{j}\,\mathrm {d} {\bar {z}}^{j}-{\bar {z}}^{j}z_{i}\,\mathrm {d} z_{j}\,\mathrm {d} {\bar {z}}^{i}}{(1+z_{i}{\bar {z}}^{i})^{2}}}}",1879-01-19T00:00:00Z,Italy
sequence of Lucas numbers,{\displaystyle L(x)={\frac {2-x}{1-x-x^{2}}}},1842-04-04T00:00:00Z,France
Sierpiński's constant,{\displaystyle K=\lim _{n\to \infty }\left[\sum _{k=1}^{n}{r_{2}(k) \over k}-\pi \ln n\right]},1882-03-14T00:00:00Z,Poland
Milü,{\displaystyle {\frac {355}{113}}},0429-01-01T00:00:00Z,Eastern Wu
Venn diagram,{\displaystyle y_{i}={\frac {\sin(2^{i}x)}{2i}}{\text{ where }}0\leq i\leq n-2{\text{ and }}i\in \mathbb {N} },1834-08-04T00:00:00Z,United Kingdom
Kempner function,{\displaystyle n\mapsto \min \left\{k\in \mathbb {Z} ^{+}\colon n|k!\right\}},1842-04-04T00:00:00Z,France
Lerner index,{\displaystyle L={\frac {P-MC}{P}}},1903-10-28T00:00:00Z,Russian Empire
Lerner index,{\displaystyle L={\frac {P-MC}{P}}},1903-10-28T00:00:00Z,Ukraine
Lemoine point,{\displaystyle a^{2}:b^{2}:c^{2}},1840-11-22T00:00:00Z,France
Bondareva–Shapley theorem,{\displaystyle \sum _{S\in 2^{N}\setminus \{\emptyset \}}\alpha (S)v(S)\leq v(N)},1923-06-02T00:00:00Z,United States
Conway group,{\displaystyle \mathrm {E} _{g}(f;N)={1 \over N}\sum _{i}^{N}{f(x_{i})}/g(x_{i})},1937-12-26T00:00:00Z,United Kingdom
Secchi disk,{\displaystyle {I_{z} \over I_{0}}=e^{-kz}},1818-06-18T00:00:00Z,Italy
Milü,{\displaystyle {\frac {355}{113}}},0429-01-01T00:00:00Z,Liu Song dynasty
Milü,{\displaystyle {\frac {355}{113}}},0429-01-01T00:00:00Z,Southern Qi
Lyapunov–Schmidt reduction,"{\displaystyle f(x,\lambda )=0}",1857-06-06T00:00:00Z,Russia
Milü,{\displaystyle {\frac {355}{113}}},0429-01-01T00:00:00Z,Liang dynasty
Kan complex,{\displaystyle X\twoheadrightarrow *},1927-08-04T00:00:00Z,Netherlands
Look-and-say sequence,{\displaystyle \operatorname {JHC} (a_{1}^{n_{1}}a_{2}^{n_{2}}\dotsm a_{k}^{n_{k}})=n_{1}a_{1}n_{2}a_{2}\dotsm n_{k}a_{k}\qquad (\forall i\colon a_{i}\neq a_{i+1};\;n_{i}\geq 1)},1937-12-26T00:00:00Z,United Kingdom
Rydberg constant,{\displaystyle R_{\infty }={\frac {e^{2}}{8\pi \varepsilon _{0}a_{0}hc_{0}}}},1854-11-08T00:00:00Z,Sweden
Lucas sequence,"{\displaystyle U_{0}(P,Q)=0,\quad U_{1}(P,Q)=1,\quad U_{n+2}(P,Q)=P\cdot U_{n+1}(P,Q)-Q\cdot U_{n}(P,Q),\,n\geq 0;V_{0}(P,Q)=2,\quad V_{1}(P,Q)=P,\quad V_{n+2}(P,Q)=P\cdot V_{n+1}(P,Q)-Q\cdot V_{n}(P,Q)}",1842-04-04T00:00:00Z,France
Janko group J1,"{\displaystyle d(x,z)+d(z,y)=d(x,y),}",1932-07-29T00:00:00Z,Croatia
L'Hôpital's rule,{\displaystyle \lim _{x\to a}{\frac {f(x)}{g(x)}}=\lim _{x\to a}{\frac {f'(x)}{g'(x)}}},1667-08-06T00:00:00Z,Switzerland
Bézout's identity,{\displaystyle ax+by=d},1730-03-31T00:00:00Z,France
Snell's law,{\displaystyle {\frac {\sin \theta _{1}}{\sin \theta _{2}}}={\frac {v_{1}}{v_{2}}}={\frac {\lambda _{1}}{\lambda _{2}}}={\frac {n_{2}}{n_{1}}}},1580-06-23T00:00:00Z,Netherlands
Roche limit,{\displaystyle d=1.26\;R_{M}\left({\frac {\rho _{M}}{\rho _{m}}}\right)^{\frac {1}{3}}},1820-10-17T00:00:00Z,France
Fermi–Walker transport,"{\displaystyle {\frac {D_{F}X}{ds}}={\frac {DX}{ds}}-(X,{\frac {DV}{ds}})V+(X,V){\frac {DV}{ds}}}",1909-07-17T00:00:00Z,United Kingdom
Betti's theorem,"{\displaystyle {\text{Fold Equity}}\,={\text{likelihood that opponent folds }}*{\text{ gain in equity if opponent(s) fold}}}",1823-10-21T00:00:00Z,Italy
Maurer–Cartan form,{\displaystyle \omega =g^{-1}\mathrm {d} g},1869-04-09T00:00:00Z,France
Friedmann–Lemaître–Robertson–Walker metric,"{\displaystyle \mathrm {d} s^{2}=\mathrm {d} t^{2}-a^{2}(t)\left(\mathrm {d} x^{2}+k{\frac {(x\,\mathrm {d} x)^{2}}{1-kx^{2}}}\right)}",1909-07-17T00:00:00Z,United Kingdom
't Hooft–Polyakov monopole,"{\displaystyle H_{i}\qquad (i=1,2,3)}",1945-09-27T00:00:00Z,Russia
Sharpe ratio,{\displaystyle S_{a}={\frac {E[R_{a}-R_{b}]}{\sigma _{a}}}={\frac {E[R_{a}-R_{b}]}{\sqrt {\mathrm {var} [R_{a}-R_{b}]}}}},1934-06-16T00:00:00Z,United States
Hadamard matrix,{\displaystyle HH^{\mathrm {T} }=nI_{n}},1814-09-03T00:00:00Z,United Kingdom
Fermi–Pasta–Ulam–Tsingou problem,{\displaystyle m{\ddot {x}}_{j}=k(x_{j+1}+x_{j-1}-2x_{j})[1+\alpha (x_{j+1}-x_{j-1})]},1909-04-13T00:00:00Z,Ukraine
Delambre analogies,{\displaystyle \cos {\frac {\alpha -\beta }{2}}={\frac {\sin {\frac {a+b}{2}}}{\sin {\frac {c}{2}}}}\cdot \sin {\frac {\gamma }{2}}},1749-09-19T00:00:00Z,France
Snellius–Pothenot problem,{\displaystyle x+y=2\pi -\alpha -\beta -C},1580-06-23T00:00:00Z,Netherlands
